Timestamp,stock_volume,Price,amount_volume
2018/11/12,718750,12625701.67,6128099850
2018/11/9,1567250,27761881,6128099850
2018/11/8,806748,13757094.42,5909115000
2018/11/7,453551,7678403.24,5780504850
2018/11/6,802207,13548307.9,5978634000
2018/11/5,838162,14466622.02,5985585900
2018/11/2,1081791,18660367.77,6034249200
2018/11/1,1144013,19049941.98,5961254250
2018/10/31,602560,9516005.7,5537188350
2018/10/30,388400,6020791,5419006050
2018/10/29,548275,8522130.75,5321679450
2018/10/26,513818,7739575,5266064250
2018/10/25,635343,9282757.74,5172213600
2018/10/24,526930,7629765.8,5067935100
2018/10/23,704251,10168582.53,4991464200
2018/10/22,652668,9656902.01,5144406000
2018/10/19,413451,5860395.83,4998416100
2018/10/18,571609,8006704,4911517350
2018/10/17,432300,6005523.13,4911517350
2018/10/16,533865,7327085.22,4716864150
2018/10/15,532886,7207924.48,4692532500
2018/10/12,848483,11044750.66,4567398300
2018/10/11,1387922,19170335.48,4692532500
2018/10/10,222450,3297578.5,5203497150
2018/10/9,299250,4418340,5147881950
2018/10/8,785551,11660473.84,5113122450
2018/9/28,1185850,18583777,5373818700
2018/9/27,555701,8993766.7,5564995950
2018/9/26,853253,14098277.04,5735317500
2018/9/25,814866,13650069.75,5843071950
2018/9/21,516964,8386287.77,5658846600
2018/9/20,426457,6980323.3,5627563050
2018/9/19,781493,12718299.16,5704033950
2018/9/18,1080473,17678065.21,5665798500
2018/9/17,251250,4242586.5,5853499800
2018/9/14,424237,7193680.34,5884783350
2018/9/13,418350,7149706.5,5964730200
2018/9/12,219550,3764692,5989061850
2018/9/11,675129,11710574.24,5961254250
2018/9/10,669303,11452083.39,5815125000
2018/9/7,634311,10811196.91,5683500000
2018/9/6,671151,11510578.4,5784750000
2018/9/5,553350,9692378,5865750000
2018/9/4,789046,14023730.4,6007500000
2018/9/3,1046121,18829950.07,6085125000
2018/8/31,846361,15034203.75,6000750000
2018/8/30,1036160,18345974.5,5973750000
2018/8/29,778503,13700020.69,5855625000
2018/8/28,1219639,21388030.1,6031125000
2018/8/27,641101,10985403.84,5801625000
2018/8/24,449900,7650670.16,5771250000
2018/8/23,515250,8831877,5788125000
2018/8/22,364900,6240371,5784750000
2018/8/21,562150,9778713.5,5865750000
2018/8/20,861318,14914644.38,5899500000
2018/8/17,318873,5344033.41,5673375000
2018/8/16,645068,10690336.04,5619375000
2018/8/15,735800,12454925.45,5676750000
2018/8/14,675678,11630405.2,5835375000
2018/8/13,643880,10878454.8,5764500000
2018/8/10,551750,9536245.5,5842125000
2018/8/9,858885,14757755.14,5815125000
2018/8/8,596902,10241768.9,5751000000
2018/8/7,684400,11911118,5896125000
2018/8/6,782575,13432088.5,5828625000
2018/8/3,1462567,25198298.86,5771250000
